Target gene,Percent.Peptide,Amino.Acid.Cut.position,score_drug_gene_rank,score_drug_gene_threshold,predictions,A_18,C_20,C_24,G_18,G_24,G_28,T_22,T_23,T_24,AC_21,GA_24,GG_20,TG_23,TT_21,TT_23,GGG_26,TGG_25,TTC_22,TTG_24,TTT_22,GTGG_24,TGGG_25,TTTG_23,GC_Count,A_Count,G_Count
NF1,6.83,194,0.900815217,1,0.6817258651,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,6
NF1,55.2,1567,0.75951087,0,0.4457953822,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,11,3
CD33,6.87,25,0.201298701,0,0.5120353802,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,8
NF2,15.97,95,0.677130045,0,0.6506766709,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,9
CD45,40.71,460,0.288808664,0,0.4860502206,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,12,10,6
CD45,39.47,446,0.458483755,0,0.4816440129,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,11,10
NF1,79.08,2245,0.61548913,0,0.4554503216,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,10
CUL3,54.04,415,0.285714286,0,0.5916450041,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,13,6
NF2,62.69,373,0.874439462,1,0.5487629834,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,12,8
MED12,11.76,256,0.861471861,1,0.5617918933,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,5
MED12,11.76,256,0.811688312,1,0.5617918933,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,5
CD5,69.64,344,0.468619247,0,0.4556350807,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,16,7,8
MED12,57.46,1251,0.795454545,0,0.6694770671,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,12,12
MED12,57.46,1251,0.856060606,1,0.6694770671,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,12,12
MED12,98.99,2155,0.00974026,0,0.1708750175,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,8
MED12,98.99,2155,0.03030303,0,0.1708750175,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,8
H2-K,82.66,305,0.426035503,0,0.5072004452,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17,9,9
H2-K,1.36,5,0.769230769,0,0.6002272873,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,8,10
CD13,48.29,467,0.685714286,0,0.5450770953,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,9
TADA1,50.75,170,0.834862385,1,0.5568530269,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,7
NF1,77.81,2209,0.523097826,0,0.3545229735,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,13,10,9
NF1,99.12,2814,0.044836957,0,0.241392569,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,8
CD28,89.91,196,0.054054054,0,0.2430828261,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,19,6,9
MED12,8.04,175,0.594155844,0,0.5011373614,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,13,5,5
MED12,8.04,175,0.698051948,0,0.5011373614,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,13,5,5
NF1,1.73,49,0.092391304,0,0.1603345105,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,7,14,4
MED12,83.69,1822,0.386363636,0,0.3820730348,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,7,14
MED12,83.69,1822,0.373376623,0,0.3820730348,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,7,14
NF1,71.22,2022,0.214673913,0,0.3700717774,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,15,9,9
NF2,4.03,24,0.892376682,1,0.6858054223,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,16,10,7
CD5,75.91,375,0.054393305,0,0.3809323069,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,6,8
CD45,57.08,645,0.108303249,0,0.4593547437,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19,6,10
MED12,77.58,1689,0.800865801,1,0.5668920029,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,5
MED12,77.58,1689,0.768398268,0,0.5668920029,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,5
CCDC101,23.89,70,0.932885906,1,0.5723678862,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,9,9
CD13,56.46,546,0.363736264,0,0.5852724437,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,9
TADA2B,78.1,328,0.542105263,0,0.5919002076,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,7
NF1,66.64,1892,0.50951087,0,0.3886417225,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,8,5
NF1,54.88,1558,0.857336957,1,0.712184884,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,16,9,6
CD13,63.5,614,0.078021978,0,0.4119677088,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,5
CD13,7.03,68,0.150549451,0,0.3998991239,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,15,5,6
MED12,1.38,30,0.152597403,0,0.3993386459,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,17,3,7
MED12,1.38,30,0.216450216,0,0.3993386459,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,17,3,7
CD45,19.56,221,0.83032491,1,0.7086022491,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,8,9
H2-K,54.74,202,0.526627219,0,0.5197948337,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,12
TADA1,19.1,64,0.972477064,1,0.6950101636,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,11,11
CUL3,33.98,261,0.558441558,0,0.5783741795,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,8
CD5,52.63,260,0.213389121,0,0.4007831946,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,8,12
CD13,10.03,97,0.279120879,0,0.4026269412,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,16,8,9
H2-K,42.82,158,0.473372781,0,0.4851404289,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,20,7,14
MED12,84.43,1838,0.296536797,0,0.4679180286,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,6
MED12,84.43,1838,0.326839827,0,0.4679180286,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,6
CD43,21.27,84,0.065217391,0,0.2432617326,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,11,8,7
HPRT1,50.46,110,0.40625,0,0.3980661229,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,11,7
CD13,27.3,264,0.403296703,0,0.4723488007,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,6,10
CD43,11.14,44,0.057971014,0,0.3217474861,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,6,10
MED12,39.96,870,0.498917749,0,0.6096254184,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,10,8
MED12,39.96,870,0.721861472,0,0.6096254184,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,10,8
CD43,51.9,205,0.862318841,1,0.5929168435,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,12
MED12,37.16,809,0.067099567,0,0.4774620581,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,5,10
MED12,37.16,809,0.063852814,0,0.4774620581,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,5,10
THY1,61.11,99,0.870967742,1,0.6169331313,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,8
NF1,4.9,139,0.44701087,0,0.432851696,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,9
NF1,84.18,2390,0.201086957,0,0.3360758786,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,11,7,5
CD45,70.62,798,0.259927798,0,0.3913974233,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,7
CD45,77.17,872,0.306859206,0,0.3196097605,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,13,10,8
TADA1,5.37,18,0.944954128,1,0.5671631014,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,11
NF2,84.2,501,0.587443946,0,0.632692759,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,15,9,9
MED12,62.2,1354,0.983766234,1,0.5816193303,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,7,10
MED12,62.2,1354,0.993506494,1,0.5816193303,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,7,10
CD13,71.77,694,0.992307692,1,0.5857518339,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,15,10,10
NF2,79.33,472,0.340807175,0,0.3924092307,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,11,10
MED12,88.61,1929,0.29978355,0,0.4526178265,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,9,11
MED12,88.61,1929,0.449134199,0,0.4526178265,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,9,11
THY1,39.51,64,0.209677419,0,0.5048226135,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,10
NF2,28.74,171,0.219730942,0,0.3535182197,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,11,8
H2-K,90.51,334,0.165680473,0,0.4769984453,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,11
NF1,73.79,2095,0.368206522,0,0.5276122655,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,10
NF1,94.96,2696,0.262228261,0,0.3498275914,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,13
NF1,11.8,335,0.149456522,0,0.3415628481,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,10,12,6
CD15,88.3,468,0.597069597,0,0.5413139522,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,10,15
CD43,27.59,109,0.384057971,0,0.4585157291,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,15,7,10
CD45,53.01,599,0.566787004,0,0.6248557973,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,12
CUL3,68.49,526,0.974025974,1,0.6333755612,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,11
CD15,76.79,407,0.688644689,0,0.6558550538,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,8,10
MED12,98.16,2137,0.051948052,0,0.048047398,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,13
MED12,98.16,2137,0.023809524,0,0.048047398,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,13
NF1,50.51,1434,0.941576087,1,0.6760602398,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,16,4,8
TADA2B,94.29,396,0.242105263,0,0.4099898997,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,8,5
CD15,39.62,210,0.582417582,0,0.5845149949,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,15
TADA1,65.37,219,0.19266055,0,0.3947604527,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,8,4
NF1,8.91,253,0.774456522,0,0.606396489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,8,9
CUL3,52.08,400,0.324675325,0,0.5089672142,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,12,11
NF1,56.39,1601,0.532608696,0,0.6759203761,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,8
H2-K,83.74,309,0.591715976,0,0.5836526308,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,7
CD5,39.47,195,0.025104603,0,0.354725368,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,6,13
TADA2B,77.14,324,0.294736842,0,0.5454067862,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,9
CD43,16.2,64,0.557971014,0,0.6331357199,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,7,10
NF1,97.08,2756,0.15625,0,0.1754014831,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,17,8,16
