,gene,result,rank,azimuth,crisprpred
1877,CCDC101,0,0.275167785,0.2384119112,-0.0152725253
1884,CCDC101,0,0.771812081,0.4807214422,-0.0791605968
1889,CCDC101,0,0.476510067,0.5577971987,-0.0068582159
1921,CCDC101,0,0.630872483,0.6486367393,0.2380280118
1990,CCDC101,0,0.429530201,0.5665302662,0.6803439902
2005,CCDC101,0,0.597315436,0.4637992378,0.1988877269
2047,CCDC101,0,0.268456376,0.5394174507,0.1566312446
2082,CCDC101,0,0.147651007,0.3765594013,0.011856581
2103,CCDC101,0,0.161073826,0.438262716,0.0516010908
2107,CCDC101,0,0.026845638,0.2776568377,-0.1472893366
2144,CCDC101,0,0.402684564,0.5919108086,0.0421773041
2147,CCDC101,0,0.382550336,0.5913651734,-0.0518734045
2155,CCDC101,0,0.167785235,0.3380971108,-0.0443314627
2163,CCDC101,0,0.060402685,0.4679782141,0.0266935982
2179,CCDC101,1,0.979865772,0.6025626014,0.4546491608
2196,CCDC101,0,0.10738255,0.4155836325,0.1803758522
2215,CCDC101,0,0.590604027,0.6234924388,0.3054958454
2260,CCDC101,1,0.939597315,0.5750335666,0.1074659355
2291,CCDC101,0,0.140939597,0.3944214729,0.0949945705
2325,CCDC101,0,0.503355705,0.4020505852,0.2019010157
2364,CCDC101,0,0.765100671,0.5128349115,0.1055607798
2374,CCDC101,0,0.100671141,0.4917606481,0.1964975728
2391,CCDC101,1,0.89261745,0.5540979633,0.1395561506
2411,CCDC101,0,0.228187919,0.3953119358,-0.0981175539
2418,CCDC101,0,0.416107383,0.6190383135,0.1003219634
2441,CCDC101,0,0.295302013,0.4933080351,0.2286308881
2500,CCDC101,0,0.32885906,0.6567723893,0.2878077392
2504,CCDC101,1,0.859060403,0.4427950566,0.2253257844
2515,CCDC101,0,0.174496644,0.5660410845,0.3170676315
2553,CCDC101,0,0.677852349,0.5842880845,0.3644844308
2572,CCDC101,0,0.510067114,0.5569566208,0.3149493077
2632,CCDC101,1,0.88590604,0.7010017006,0.7764373552
2662,CCDC101,0,0.369127517,0.538664329,0.2387083975
2805,CCDC101,0,0.120805369,0.3266277237,-0.1998317093
2831,CCDC101,0,0.704697987,0.6032140966,0.0888566168
2851,CCDC101,1,0.906040268,0.4494726282,0.1801412726
2894,CCDC101,1,0.966442953,0.4836647064,0.1544947904
2899,CCDC101,0,0.154362416,0.4957444575,0.2404057237
2901,CCDC101,0,0.530201342,0.4631070758,0.2789534306
2910,CCDC101,0,0.724832215,0.4858347184,-0.0008585785
2913,CCDC101,0,0.523489933,0.5805474562,-0.0403197651
2931,CCDC101,0,0.013422819,0.3398368634,0.2108890745
3038,CCDC101,0,0.436241611,0.4785581974,0.1731820508
3056,CCDC101,0,0.456375839,0.6802949565,0.2865012807
3059,CCDC101,1,0.865771812,0.510970172,0.0144674461
3068,CCDC101,1,0.818791946,0.6884136753,0.1954188294
3075,CCDC101,0,0.033557047,0.2225494289,0.2152197616
3090,CCDC101,0,0.570469799,0.4642263708,0.2764157471
3117,CCDC101,0,0.181208054,0.4774471435,0.3255386907
3128,CCDC101,0,0.288590604,0.402679493,0.3802271292
3208,CCDC101,0,0.241610738,0.6533639976,0.4416706325
3216,CCDC101,0,0.315436242,0.4009969538,0.1958784995
3320,CCDC101,0,0.255033557,0.2592956659,0.025128698
3327,CCDC101,0,0.322147651,0.4310231295,-0.0118957079
3373,CCDC101,0,0.791946309,0.4872912151,0.2715799689
3405,CCDC101,0,0.697986577,0.5372343016,0.3202976554
3432,CCDC101,0,0.711409396,0.4481766423,-0.2886569078
3462,CCDC101,1,0.812080537,0.3572241366,0.0407461129
3503,CCDC101,0,0.261744966,0.4694054705,0.130487215
3522,CCDC101,0,0.691275168,0.7031256045,0.2716584626
3594,CCDC101,0,0.463087248,0.4918728121,0.1402577445
3598,CCDC101,1,1,0.5231680484,0.2926324486
3637,CCDC101,0,0.046979866,0.2985976335,-0.1722507923
3689,CCDC101,0,0.409395973,0.4226084279,0.1044999002
3726,CCDC101,0,0.234899329,0.4874070117,0.4443901194
3814,CCDC101,0,0.375838926,0.3951280685,0.3012165831
3846,CCDC101,0,0.44295302,0.5664842226,0.4278871335
3860,CCDC101,0,0.395973154,0.566862381,0.3445566318
3865,CCDC101,0,0.610738255,0.5316522561,0.0526888346
3986,CCDC101,0,0.718120805,0.4771292686,0.2067766609
4029,CCDC101,0,0.738255034,0.5439533487,0.3871570746
4270,CCDC101,0,0.134228188,0.5310968338,0.5671128709
4280,CCDC101,0,0.644295302,0.7548279203,0.1230538567
4303,CCDC101,0,0.348993289,0.5627926888,0.0336271832
4324,CCDC101,0,0.208053691,0.5325792148,0.1384101779
4341,CCDC101,1,0.832214765,0.7024105772,0.3963568696
4375,CCDC101,0,0.053691275,0.4345271082,0.3188744346
4431,CCDC101,0,0.758389262,0.4491597988,0.0109629282
4458,CCDC101,1,0.993288591,0.6762633564,0.5360620123
4492,CCDC101,0,0.67114094,0.3736411156,-0.0466826668
4553,CCDC101,1,0.899328859,0.4824800969,0.3683814654
4557,CCDC101,0,0.214765101,0.3692260474,0.0912631299
4567,CCDC101,1,0.879194631,0.6913700662,0.5844995256
4595,CCDC101,1,0.959731544,0.6256726837,0.3784540586
4635,CCDC101,0,0.604026846,0.4276947372,-0.1850417917
4679,CCDC101,0,0.651006711,0.5645546092,0.2305513847
4748,CCDC101,0,0.355704698,0.6253624185,0.2950106259
4766,CCDC101,0,0.33557047,0.5404922802,0.1349508533
4787,CCDC101,0,0.194630872,0.4723357593,-0.1011027348
4873,CCDC101,0,0.617449664,0.6485629855,0.073657061
4874,CCDC101,0,0.516778523,0.4236290707,0.088363655
4909,CCDC101,0,0.389261745,0.4759702145,0.0398898304
4940,CCDC101,0,0.563758389,0.5258272172,0.1380487865
4951,CCDC101,0,0.362416107,0.5633684811,0.3791116925
4986,CCDC101,0,0.489932886,0.5347725781,0.1376875414
4999,CCDC101,0,0.798657718,0.4827903899,0.6142414383
5002,CCDC101,0,0.22147651,0.4362572667,-0.0218515763
5059,CCDC101,0,0.536912752,0.4440077389,-0.0175638491
5237,CCDC101,0,0.77852349,0.425040569,0.2626459949
65,CD13,0,0.752747253,0.5760529154,0.3305850044
96,CD13,0,0.685714286,0.5450770953,0.3701152103
113,CD13,0,0.363736264,0.5852724437,0.1520306835
117,CD13,0,0.078021978,0.4119677088,-0.1228183422
118,CD13,0,0.150549451,0.3998991239,0.0623572962
126,CD13,0,0.279120879,0.4026269412,-0.1667796395
132,CD13,0,0.403296703,0.4723488007,0.3507225674
148,CD13,1,0.992307692,0.5857518339,0.271922896
209,CD13,0,0.597802198,0.5670840793,0.1758576148
226,CD13,0,0.624175824,0.6115119523,0.405673276
231,CD13,1,0.817582418,0.6747295891,0.2302843265
233,CD13,0,0.506593407,0.4749053953,0.0615693011
234,CD13,1,0.972527473,0.7028734546,0.5147659178
276,CD13,0,0.61978022,0.769659643,0.3488436584
278,CD13,0,0.416483516,0.6413991687,0.3031554768
279,CD13,0,0.571428571,0.4772272513,0.1298602368
280,CD13,0,0.292307692,0.3415183653,0.0310592843
283,CD13,0,0.542857143,0.6666796007,0.254989082
285,CD13,0,0.478021978,0.536406011,-0.1768170539
318,CD13,0,0.687912088,0.5930566029,-0.1578358295
319,CD13,0,0.796703297,0.6053745744,0.1767256247
356,CD13,0,0.064835165,0.2148853452,0.0108569145
382,CD13,0,0.686813187,0.5676757691,0.1589210663
396,CD13,0,0.254945055,0.4352165615,0.0051754043
399,CD13,1,0.832967033,0.6610576088,0.377543379
434,CD13,1,0.971428571,0.7040988189,0.1120937235
455,CD13,0,0.3,0.3430096917,-0.0662019113
466,CD13,0,0.585714286,0.4875423457,0.2785059214
468,CD13,0,0.204395604,0.3966389342,-0.1072416302
481,CD13,1,0.97032967,0.7272135242,0.5020977808
499,CD13,1,0.817582418,0.6527396529,0.2373180921
508,CD13,0,0.356043956,0.5324499042,0.0396819196
530,CD13,0,0.43956044,0.5162090171,0.3453486166
532,CD13,1,0.843956044,0.6655728196,0.4732906634
588,CD13,0,0.032967033,0.2046957297,0.1779344473
599,CD13,0,0.442857143,0.4475330398,0.0227729419
603,CD13,0,0.605494505,0.5546737522,0.206178328
607,CD13,1,0.946153846,0.6358253705,0.3200001322
644,CD13,0,0.315384615,0.5367359624,0.2625488244
646,CD13,0,0.453846154,0.6055492512,0.3148427952
659,CD13,0,0.364835165,0.4767249673,0.1620709524
663,CD13,1,0.904395604,0.796768998,0.4403998573
685,CD13,0,0.096703297,0.5568994028,0.1535257136
703,CD13,1,0.906593407,0.5943680071,0.2328512078
709,CD13,0,0.52967033,0.5934264417,0.2505333684
732,CD13,0,0.048351648,0.4429243249,-0.0638169981
734,CD13,0,0.608791209,0.6329857965,0.1796003549
737,CD13,0,0.462637363,0.5149389513,-0.0482616489
744,CD13,0,0.303296703,0.3989063208,0.4985076055
768,CD13,0,0.181318681,0.3578213926,-0.0472065219
808,CD13,0,0.038461538,0.4320247746,0.1734513651
819,CD13,0,0.417582418,0.5080526963,0.0390276257
841,CD13,0,0.596703297,0.567788499,0.3301018522
842,CD13,0,0.603296703,0.4957360442,0.3963226078
907,CD13,0,0.020879121,0.3729125081,0.0830753866
931,CD13,0,0.786813187,0.5023909211,0.0432459867
940,CD13,0,0.42967033,0.4337085128,0.0998737428
959,CD13,1,0.916483516,0.7705754466,0.3780389461
977,CD13,1,0.924175824,0.5216945773,0.683663494
984,CD13,0,0.542857143,0.4655265044,0.1181748263
1014,CD13,0,0.796703297,0.5626298079,0.2927070203
1015,CD13,0,0.227472527,0.5155860941,0.086993258
1024,CD13,0,0.126373626,0.4711921387,0.0567144958
1027,CD13,0,0.416483516,0.4513445368,0.1758198778
1038,CD13,0,0.062637363,0.4960640621,0.06611056
1052,CD13,0,0.661538462,0.4621635741,0.1079560983
1054,CD13,0,0.094505495,0.4260515099,0.1156113249
1071,CD13,0,0.68021978,0.5897954345,0.3114329384
1072,CD13,0,0.325274725,0.4193577248,-0.0820640047
1093,CD13,0,0.298901099,0.4125207604,0.1804798256
1148,CD13,0,0.321978022,0.4876938523,-0.0583888752
1182,CD13,0,0.049450549,0.4737162718,0.0139011661
1183,CD13,0,0.525274725,0.5812728969,0.1194405994
1221,CD13,0,0.584615385,0.5776256224,0.3448981135
1228,CD13,0,0.337362637,0.5554027096,0.3117840521
1272,CD13,0,0.781318681,0.5529296014,0.0441120964
1274,CD13,0,0.479120879,0.6765046946,0.3414717301
1282,CD13,0,0.074725275,0.351853546,-0.1505410128
1283,CD13,0,0.645054945,0.6110157079,0.1075900612
1285,CD13,0,0.567032967,0.4893653078,0.0196131613
1289,CD13,0,0.598901099,0.5607239692,-0.0083851413
1297,CD13,0,0.276923077,0.4674675523,-0.1076460306
1308,CD13,0,0.552747253,0.487742633,0.2311595854
1314,CD13,0,0.452747253,0.4124725969,-0.007637309
1323,CD13,0,0.142857143,0.3595632795,-0.0597736291
1324,CD13,0,0.091208791,0.3966338926,0.1126145539
1325,CD13,0,0.057142857,0.382959306,-0.100492864
1345,CD13,0,0.431868132,0.5232967539,0.0293815799
1351,CD13,0,0.134065934,0.4490339236,-0.0988780591
1361,CD13,0,0.771428571,0.6069951235,-0.1349676933
1366,CD13,0,0.240659341,0.4187575749,0.2405088088
1368,CD13,1,0.950549451,0.68494513,0.2971558078
1372,CD13,0,0.556043956,0.5134211611,0.0638131312
1374,CD13,0,0.710989011,0.6984376452,0.1571316989
1377,CD13,0,0.643956044,0.7042629319,0.4378149521
1393,CD13,0,0.710989011,0.539532,0.0463274343
1402,CD13,0,0.302197802,0.4482065937,-0.0612039535
1406,CD13,0,0.504395604,0.5786273506,0.0801687391
1413,CD13,0,0.349450549,0.4140180598,-0.0701518837
1446,CD13,0,0.196703297,0.4010020031,0.1681821894
1453,CD13,0,0.738461538,0.6574984458,0.1645336508
1459,CD13,0,0.701098901,0.5097116817,0.1489713398
1475,CD13,0,0.298901099,0.5672978932,0.2803177504
1491,CD13,0,0.375824176,0.3807221976,-0.0381888915
1500,CD13,0,0.772527473,0.5333439561,-0.0587240426
1508,CD13,1,0.946153846,0.7518685014,0.3698922622
1509,CD13,1,0.903296703,0.702121299,0.5674914702
1549,CD13,0,0.705494505,0.4500914606,0.2818005422
1550,CD13,0,0.324175824,0.349543689,0.0493092201
1574,CD13,0,0.7,0.54952996,0.4007333302
1578,CD13,0,0.723076923,0.6030254939,-0.0026585345
1582,CD13,0,0.496703297,0.6500115797,0.1186316383
1602,CD13,1,0.917582418,0.6217646761,0.2907083347
1611,CD13,0,0.446153846,0.5575360999,0.299733277
1613,CD13,0,0.368131868,0.5679450677,0.1472429025
1631,CD13,0,0.420879121,0.4427315706,0.0452505189
1635,CD13,0,0.357142857,0.5448382257,0.1599211389
1636,CD13,0,0.357142857,0.5669970918,0.4714513874
1650,CD13,0,0.556043956,0.5638128478,-0.0949484454
1659,CD13,0,0.238461538,0.3074517214,0.2011851708
1663,CD13,0,0.717582418,0.5844460915,0.0997114185
1686,CD13,1,0.934065934,0.674325387,0.3021618073
1713,CD13,0,0.776923077,0.487123358,0.0737213639
1732,CD13,0,0.773626374,0.6093735278,0.3845361829
1747,CD13,0,0.128571429,0.4569858268,0.0417938912
1753,CD13,1,0.878021978,0.5879685496,0.1887841705
1755,CD13,0,0.123076923,0.2335187567,0.0612385193
1774,CD13,0,0.125274725,0.3842492112,-0.1095344726
1794,CD13,0,0.131868132,0.4847810265,-0.0856653234
1802,CD13,0,0.07032967,0.3491762008,-0.0160321827
1806,CD13,0,0.701098901,0.6689707115,0.3846745218
1813,CD13,0,0.736263736,0.5004814644,-0.1211742969
1820,CD13,0,0.46043956,0.5141283396,0.0191293324
1826,CD13,0,0.124175824,0.4298175104,0.1025852961
1830,CD13,0,0.076923077,0.303916528,-0.071588679
1855,CD13,0,0.69010989,0.4504706819,-0.1345109131
1857,CD13,0,0.40989011,0.34526151,-0.1201742771
1861,CD13,0,0.48021978,0.3377046446,-0.1946851468
1866,CD13,0,0.16043956,0.573736984,0.0014351673
1872,CD13,0,0.796703297,0.483742947,0.0388969485
1886,CD13,0,0.413186813,0.5473677462,0.2288405186
1902,CD13,1,0.901098901,0.570895415,0.1918701968
1904,CD13,0,0.618681319,0.7490140676,0.3445682504
1908,CD13,0,0.483516484,0.586124548,-0.1096198982
1911,CD13,0,0.089010989,0.505277089,0.1685840857
1937,CD13,0,0.589010989,0.3848858724,0.0934152192
1952,CD13,0,0.674725275,0.5451075326,0.1631044018
1955,CD13,0,0.208791209,0.1519828808,0.0096607258
1972,CD13,0,0.058241758,0.4628924203,0.1116619851
1983,CD13,0,0.735164835,0.6990486332,0.3093444191
2000,CD13,0,0.478021978,0.5277381715,-0.1044093332
2008,CD13,1,0.878021978,0.7196646687,0.2313537748
2019,CD13,0,0.492307692,0.6072186407,0.0441724918
2025,CD13,0,0.369230769,0.3001505815,0.0214017748
2026,CD13,0,0.674725275,0.5613707447,-0.1278543653
2031,CD13,0,0.618681319,0.5849976766,0.3059749326
2043,CD13,0,0.637362637,0.5495946909,0.2613641368
2057,CD13,1,0.832967033,0.6867260176,0.2052344968
2060,CD13,0,0.567032967,0.5166731036,0.2246128975
2072,CD13,0,0.024175824,0.5977021556,0.3468093483
2086,CD13,0,0.263736264,0.4873472279,0.1527674874
2090,CD13,0,0.046153846,0.2719387564,0.0051014175
2092,CD13,0,0.176923077,0.4176058526,-0.0336841424
2093,CD13,0,0.117582418,0.5056259004,0.2800937405
2096,CD13,0,0.104395604,0.277119219,0.0463273332
2097,CD13,0,0.697802198,0.6795128609,0.2060586133
2112,CD13,0,0.198901099,0.479891737,-0.2138238801
2117,CD13,0,0.128571429,0.4794625167,0.152888129
2124,CD13,0,0.392307692,0.5400484657,0.3713888131
2132,CD13,0,0.254945055,0.6025353599,0.2338314728
2145,CD13,0,0.09010989,0.418543527,0.3287093388
2153,CD13,1,0.82967033,0.6307840388,0.4243054999
2156,CD13,1,0.812087912,0.6263489378,0.6067206883
2172,CD13,0,0.432967033,0.5593496077,0.0389937255
2178,CD13,0,0.716483516,0.5400102086,0.1446745074
2181,CD13,0,0.636263736,0.6665907712,0.4733093822
2186,CD13,0,0.671428571,0.4766524318,0.0213265746
2190,CD13,0,0.527472527,0.6053965688,0.0550693201
2191,CD13,0,0.48021978,0.532209432,0.3552768192
2197,CD13,1,0.847252747,0.6960827935,0.2155734507
2198,CD13,0,0.127472527,0.3339576439,0.0886231827
2207,CD13,1,0.874725275,0.7507233727,0.2019496218
2208,CD13,1,0.906593407,0.5927012341,0.5404471996
2222,CD13,0,0.795604396,0.6808397668,0.2455501804
2232,CD13,0,0.73956044,0.7601914986,0.3164391493
2240,CD13,1,0.896703297,0.4866560767,0.3420903614
2268,CD13,0,0.581318681,0.5988553468,0.3267637957
2281,CD13,1,0.935164835,0.5141943723,0.265187876
2287,CD13,0,0.693406593,0.5902588774,0.0884966978
2288,CD13,0,0.457142857,0.5759421227,0.0848412971
2297,CD13,0,0.213186813,0.5640882106,-0.0288433375
2312,CD13,0,0.39010989,0.4828000547,-0.1462665766
2316,CD13,0,0.105494505,0.3810305748,-0.0454297383
2337,CD13,0,0.498901099,0.6124398774,0.4677557582
2340,CD13,0,0.097802198,0.4536777135,0.0006685119
2370,CD13,0,0.774725275,0.409987282,-0.1708006589
2389,CD13,0,0.347252747,0.4771919039,0.256189817
2401,CD13,0,0.345054945,0.5330015024,0.054376733
2421,CD13,0,0.640659341,0.6967540786,0.2495222502
2422,CD13,0,0.158241758,0.4096035357,0.0003925299
2423,CD13,0,0.474725275,0.6003382617,0.104140941
2431,CD13,0,0.496703297,0.444645829,0.108874745
2436,CD13,0,0.115384615,0.2735119672,0.1644555126
2444,CD13,0,0.324175824,0.4633191915,0.1852821225
2455,CD13,0,0.564835165,0.6379744074,0.295381178
2457,CD13,0,0.358241758,0.491635578,0.1376887787
2467,CD13,0,0.508791209,0.6186896031,0.4029026608
2471,CD13,0,0.326373626,0.4945202393,0.0711241209
2489,CD13,0,0.420879121,0.5651743236,0.1211996402
2490,CD13,0,0.675824176,0.6685115051,0.3215218121
2543,CD13,0,0.696703297,0.5596678802,0.1113604351
2552,CD13,0,0.31978022,0.5157724646,0.2292642117
2558,CD13,0,0.567032967,0.5478941283,0.0465936664
2561,CD13,0,0.516483516,0.5056730007,0.1197165165
2563,CD13,0,0.378021978,0.4550507552,-0.2296360135
2583,CD13,0,0.68021978,0.5677022595,0.1481032033
2595,CD13,0,0.124175824,0.4107764715,0.0884599668
2609,CD13,0,0.103296703,0.4376029036,0.1577316835
2634,CD13,0,0.57032967,0.5717703626,0.1395839631
2644,CD13,0,0.516483516,0.5177537273,0.1944199097
2647,CD13,0,0.506593407,0.5601835392,0.1553598835
2651,CD13,0,0.496703297,0.7330245524,0.175783803
2670,CD13,0,0.158241758,0.4310863504,0.245868121
2684,CD13,1,0.963736264,0.6796134489,0.287242602
2696,CD13,0,0.798901099,0.5834811104,0.2178158187
2700,CD13,0,0.045054945,0.4797176016,0.0380242838
2706,CD13,0,0.198901099,0.3710743534,-0.108460998
2710,CD13,0,0.554945055,0.6506888584,0.1543000868
2712,CD13,0,0.721978022,0.6873722088,0.5483164049
2715,CD13,0,0.5,0.6391404967,0.1963560015
2725,CD13,0,0.071428571,0.2433215454,-0.0015189288
2730,CD13,0,0.683516484,0.5136084521,0.1637586002
2731,CD13,0,0.304395604,0.2115223438,0.0673340205
2754,CD13,0,0.063736264,0.1312993754,0.2214607261
2756,CD13,0,0.037362637,0.3116511511,0.0384141571
2757,CD13,1,0.93956044,0.5967766967,0.4324738732
2770,CD13,0,0.389010989,0.3888156827,0.3302918872
2775,CD13,0,0.593406593,0.4034475564,0.2517060782
2794,CD13,1,0.971428571,0.6982993182,0.4704352079
2798,CD13,0,0.430769231,0.5345948511,0.2909549247
2809,CD13,0,0.554945055,0.6047421775,0.0942630053
2811,CD13,0,0.659340659,0.5933144293,0.1440002979
2835,CD13,0,0.621978022,0.5123282574,0.2795431025
2840,CD13,0,0.520879121,0.5964810518,0.3593243534
2859,CD13,0,0.476923077,0.5734804171,0.1720462545
2877,CD13,0,0.040659341,0.3198599836,0.0994465121
2879,CD13,0,0.486813187,0.5649190173,0.2071975157
2880,CD13,0,0.706593407,0.6588136828,0.2230183999
2886,CD13,0,0.779120879,0.6696950024,0.2554281592
2929,CD13,1,0.967032967,0.7351997197,0.3707052014
2932,CD13,0,0.761538462,0.620684694,0.1038483858
2933,CD13,0,0.361538462,0.5239458341,0.3651348212
2935,CD13,0,0.369230769,0.6201129732,0.2119955702
2940,CD13,0,0.446153846,0.381179888,-0.044643074
2941,CD13,0,0.712087912,0.548312643,0.32708654
2964,CD13,1,0.813186813,0.4245187502,0.2459401297
3005,CD13,0,0.687912088,0.5092318021,0.1354058859
3047,CD13,0,0.47032967,0.5118719341,0.3333564078
3053,CD13,0,0.347252747,0.5425112317,0.2308594667
3062,CD13,0,0.140659341,0.4905200561,0.1381869551
3063,CD13,0,0.172527473,0.3396372938,0.067181589
3080,CD13,0,0.264835165,0.4605483666,-0.0855071656
3103,CD13,0,0.749450549,0.4993183051,0.1738057057
3131,CD13,0,0.752747253,0.6489070495,0.5005824827
3147,CD13,1,0.831868132,0.7529618762,0.2810697462
3157,CD13,0,0.654945055,0.6007697853,0.2256289809
3163,CD13,0,0.428571429,0.5848438589,-0.023939616
3219,CD13,1,0.969230769,0.6520325833,0.5824610809
3233,CD13,0,0.224175824,0.5219032561,0.0958691902
3245,CD13,0,0.441758242,0.6163932294,0.0886193823
3247,CD13,1,0.925274725,0.6760021117,0.6235888317
3249,CD13,1,0.901098901,0.7288836934,0.4512892232
3255,CD13,1,0.874725275,0.6373307545,0.4058731806
3260,CD13,0,0.683516484,0.6588607131,0.3657556482
3279,CD13,0,0.014285714,0.2837738379,0.0628197327
3334,CD13,1,0.803296703,0.6022330236,0.3771229355
3356,CD13,0,0.659340659,0.7188962512,0.1982850002
3365,CD13,0,0.241758242,0.6608120043,0.2236414325
3371,CD13,0,0.264835165,0.2631392134,0.0242962741
3375,CD13,0,0.32967033,0.4719084446,0.4090427685
3385,CD13,0,0.107692308,0.2732840427,-0.0475026593
3386,CD13,0,0.618681319,0.6622177033,0.2660376007
3396,CD13,0,0.124175824,0.3787403873,0.2554828897
3399,CD13,0,0.510989011,0.5053193242,-0.0209697706
3407,CD13,0,0.108791209,0.6903283266,0.4400068378
3411,CD13,0,0.173626374,0.5372413191,0.333506982
3415,CD13,1,0.984615385,0.7571440641,0.300499078
3419,CD13,0,0.42967033,0.5132417461,0.0523847154
3423,CD13,0,0.454945055,0.4429733186,0.1716886669
3429,CD13,0,0.465934066,0.4934106146,0.0382664739
3450,CD13,0,0.504395604,0.6700654793,0.3673848141
3465,CD13,0,0.187912088,0.3008953736,0.3108078622
3504,CD13,0,0.22967033,0.4005671266,0.057357837
3514,CD13,0,0.263736264,0.4580494953,0.2644333641
3526,CD13,0,0.110989011,0.5198491117,0.1599872914
3530,CD13,0,0.065934066,0.5326915838,-0.0407566825
3534,CD13,0,0.523076923,0.5604723314,-0.0276247242
3537,CD13,0,0.307692308,0.3598667501,-0.0077565275
3539,CD13,1,0.812087912,0.6837566227,0.3563439796
3546,CD13,1,0.808791209,0.6297912243,0.6312701527
3553,CD13,0,0.026373626,0.4361117606,0.0802539079
3566,CD13,0,0.158241758,0.3660066439,-0.1321299886
3567,CD13,0,0.503296703,0.5758059215,0.2157007662
3568,CD13,1,0.889010989,0.6067534387,0.2442933172
3569,CD13,0,0.768131868,0.5378771963,0.1887744469
3570,CD13,0,0.301098901,0.4602726178,-0.0594684905
3591,CD13,0,0.20989011,0.3020177226,0.0993443915
3595,CD13,0,0.440659341,0.5105362017,0.217511272
3629,CD13,0,0.674725275,0.6706656943,0.2030578994
3640,CD13,0,0.472527473,0.6478215998,0.1859588357
3648,CD13,0,0.02967033,0.3300762076,0.2769478006
3663,CD13,0,0.254945055,0.4128125761,0.005151339
3669,CD13,0,0.795604396,0.6305015936,0.0058308874
3671,CD13,1,0.847252747,0.7524588749,0.083758068
3690,CD13,0,0.310989011,0.462573678,0.0218418841
3696,CD13,0,0.416483516,0.4656828001,0.2443481269
3706,CD13,0,0.050549451,0.3699535694,0.2159243674
3707,CD13,0,0.362637363,0.4415365757,0.4945224444
3724,CD13,0,0.51978022,0.474534341,0.1892165129
3730,CD13,1,0.850549451,0.5961651405,0.5244173205
3732,CD13,1,0.823076923,0.5998518623,0.6101470886
3737,CD13,0,0.274725275,0.4443993432,0.0695147048
3761,CD13,0,0.214285714,0.5269270092,0.1406784652
3772,CD13,0,0.479120879,0.5140493037,-0.0434838555
3774,CD13,1,0.954945055,0.7149668067,0.2910901412
